Date,Mild,SARS,Positive,UnderObs.,Recovered,Deaths,Masc.,Fem.
09_OUT_2020,4507,272,1474,25,1413,36,727,747
08_OUT_2020,4455,272,1474,25,1413,36,727,747
07_OUT_2020,4429,271,1468,19,1413,36,723,745
06_OUT_2020,4416,271,1466,17,1413,36,723,743
05_OUT_2020,4361,271,1461,53,1372,36,719,742
02_OUT_2020,4319,268,1428,46,1347,35,705,723
30_SET_2020,4279,267,1399,36,1328,35,692,707
29_SET_2020,4247,267,1386,23,1328,35,685,701
28_SET_2020,4222,266,1373,14,1325,34,677,696
25_SET_2020,4190,263,1335,108,1193,34,648,667
24_SET_2020,4164,261,1326,101,1193,32,643,663
23_SET_2020,4145,258,1321,96,1193,32,641,660
22_SET_2020,4115,258,1308,192,1084,32,633,655
21_SET_2020,4081,258,1253,137,1084,32,597,636
18_SET_2020,4034,256,1221,105,1084,32,580,641
17_SET_2020,4004,254,1217,103,1084,32,579,640
16_SET_2020,3987,254,1217,102,1083,32,578,639
15_SET_2020,3948,252,1199,84,1083,32,566,633
11_SET_2020,3914,248,1175,60,1083,32,556,619
10_SET_2020,3881,248,1171,56,1083,32,556,615
09_SET_2020,3862,248,1159,89,1038,32,552,607
08_SET_2020,3844,248,1146,77,1038,31,548,598
04_SET_2020,3795,240,1120,51,1038,31,534,586
03_SET_2020,3755,238,1119,50,1038,31,534,585
02_SET_2020,3719,238,1102,58,1013,31,527,575
01_SET_2020,3694,234,1099,55,1013,31,526,573
31_Ago_2020,3630,233,1088,44,1013,31,520,568
28_Ago_2020,3546,230,1053,96,927,30,508,545
27_Ago_2020,3507,229,1046,121,895,30,503,543
26_Ago_2020,3436,228,1034,109,895,30,494,540
25_Ago_2020,3432,226,1016,156,830,30,483,533
24_Ago_2020,3343,225,986,162,794,30,465,521
20_Ago_2020,3237,217,917,95,794,28,428,489
19_Ago_2020,3154,215,914,496,390,28,426,488
16-Ago-2020,3030,210,842,428,390,24,394,438
15-Ago-2020,3030,210,841,428,390,23,393,438
14-Ago-2020,3023,210,835,422,390,23,390,435
13-Ago-2020,2966,208,814,401,390,23,378,436
12-Ago-2020,2921,206,791,386,382,23,363,428
